train_id,coach_id,slot_id,location,cleaning_time,cleaning_type,assigned_cleaner
T001,C004,SLOT-001,Station-D,2025-08-31 7:00:00,Deep Clean,Cleaner-33
T001,C018,SLOT-002,Depot-B,2025-08-30 22:00:00,Quick Sanitize,Cleaner-33
T002,C007,SLOT-003,Station-D,2025-08-28 8:00:00,Full Wash,Cleaner-11
T002,C018,SLOT-004,Yard-C,2025-08-25 10:00:00,Quick Sanitize,Cleaner-22
T003,C006,SLOT-005,Depot-A,2025-08-25 7:00:00,Quick Sanitize,Cleaner-11
T003,C004,SLOT-006,Depot-A,2025-08-30 14:00:00,Full Wash,Cleaner-22
T004,C002,SLOT-007,Yard-C,2025-08-24 18:00:00,Quick Sanitize,Cleaner-22
T004,C020,SLOT-008,Yard-C,2025-08-26 5:00:00,Quick Sanitize,Cleaner-11
T005,C008,SLOT-009,Depot-A,2025-08-27 17:00:00,Full Wash,Cleaner-33
T005,C015,SLOT-010,Depot-B,2025-08-21 7:00:00,Quick Sanitize,Cleaner-33
T006,C009,SLOT-011,Yard-C,2025-08-21 15:00:00,Full Wash,Cleaner-22
T006,C018,SLOT-012,Yard-C,2025-08-28 14:00:00,Quick Sanitize,Cleaner-11
T007,C011,SLOT-013,Depot-A,2025-08-31 16:00:00,Quick Sanitize,Cleaner-22
T007,C009,SLOT-014,Yard-C,2025-08-30 7:00:00,Full Wash,Cleaner-22
T008,C007,SLOT-015,Depot-B,2025-08-21 19:00:00,Quick Sanitize,Cleaner-33
T008,C009,SLOT-016,Yard-C,2025-08-29 10:00:00,Quick Sanitize,Cleaner-33
T009,C019,SLOT-017,Yard-C,2025-08-25 15:00:00,Full Wash,Cleaner-11
T009,C017,SLOT-018,Station-D,2025-08-24 22:00:00,Full Wash,Cleaner-22
T010,C006,SLOT-019,Station-D,2025-08-21 6:00:00,Deep Clean,Cleaner-11
T010,C020,SLOT-020,Yard-C,2025-08-24 12:00:00,Deep Clean,Cleaner-33
